node,floor,edges
279F,2,280F:2.5;277F:1
280F,2,279F:2.5;281F:1
281F,2,278F:2.5;280F:1
278F,2,281F:2.5;274F:3
274F,2,278F:3;L12-2:4
264E,2,L12-2:5;N14-2:2
A1-2,2,B2-2:1;12E-2:3;N14-2:0.5
B2-2,2,A1-2:1;11E-2:3;248E:2.5
12E-2,2,A1-2:3;C3-2:3
11E-2,2,B2-2:3;D4-2:3
248E,2,B2-2:3.5;244E:2
244E,2,248E:2;238C:2
238C,2,244E:2;234C:2
234C,2,238C:2;E5-2:1.5
E5-2,2,234C:1.5;G7-2:1;7C-2:3
G7-2,2,E5-2:1;6C-2:3;O15-2:0.5
7C-2,2,E5-2:3;F6-2:3
6C-2,2,G7-2:3;H8-2:3
226C,2,O15-2:2;R18-2:3
I9-2,2,2A:3;R18-2:0.5
2A,2,I9-2:3;J10-2:3
J10-2,2,2A:3;Q17-2:0.5
227C,2,P16-2:4;Q17-2:1
H8-2,2,6C-2:3;F6-2:1;P16-2:0.5
F6-2,2,H8-2:1;7C-2:3;237C:1.5
237C,2,F6-2:1.5;247E:2
247E,2,237C:2;253E:4
253E,2,247E:4;D4-2:2.5
D4-2,2,253E:2.5;11E-2:3;C3-2:1
C3-2,2,12E-2:3;D4-2:1;M13-2:0.5
265E,2,K11-2:5;M13-2:2
270F,2,275F:2;K11-2:1
275F,2,270F:2;277F:3
277F,2,275F:3;279F:1
K11-2,2,270F:1;265E:5;TR1-2:2
L12-2,2,274F:4;264E:5;TR2-2:2
M13-2,2,265E:2;C3-2:0.5;TR3-2:2
N14-2,2,264E:2;A1-2:0.5;TR4-2:2
O15-2,2,G7-2:0.5;226C:2;TR6-2:2
P16-2,2,H8-2:0.5;227C:4;TR5-2:2
Q17-2,2,227C:1;J10-2:0.5;TR7-2:2
R18-2,2,226C:3;I9-2:0.5;TR8-2:2
TR1-2,2,K11-2:2;TR1-3:5
TR2-2,2,L12-2:2;TR2-3:5
TR3-2,2,M13-2:2;TR3-3:5
TR4-2,2,N14-2:2;TR4-3:5
TR5-2,2,P16-2:2;TR5-3:5
TR6-2,2,O15-2:2;TR6-3:5
TR7-2,2,Q17-2:2;TR7-3:5
TR8-2,2,R18-2:2;TR8-3:5
370F,3,375F:2;A1-3:1
375F,3,370F:2;377F:1
377F,3,375F:1;379F:3
379F,3,377F:3;381F:2.5
381F,3,379F:2.5;380F:1
380F,3,381F:1;378F:2.5
378F,3,380F:2.5;376F:3
376F,3,378F:3;B2-3:4
357E,3,E5-3:0.5
12E-3,3,11E-3:1;D4-3:3;G7-3:3
11E-3,3,12E-3:1;E5-3:3;F6-3:3
331C,3,K11-3:0.5
7C-3,3,6C-3:1;K11-3:3;L12-3:3
6C-3,3,7C-3:1;J10-3:3;M13-3:3
315B,3,311B:2;P16-3:0.5
311B,3,315B:2;Q17-3:2
305B,3,Q17-3:2.5;304B:1
304B,3,305B:1;R18-3:2.5
306B,3,R18-3:1.5
310B,3,314B:2;R18-3:1
314B,3,310B:2;S19-3:2
A1-3,3,370F:1;TR1-3:2
B2-3,3,376F:4;TR2-3:2
C3-3,3,TR3-3:2;D4-3:0.5
D4-3,3,12E-3:3;C3-3:0.5;E5-3:1
E5-3,3,357E:0.5;11E-3:3;D4-3:1
F6-3,3,11E-3:3;G7-3:1
G7-3,3,12E-3:3;F6-3:1;H8-3:0.5
H8-3,3,G7-3:0.5;TR4-3:2
I9-3,3,J10-3:0.5;TR5-3:2
J10-3,3,6C-3:3;I9-3:0.5;K11-3:1
K11-3,3,331C:0.5;7C-3:3;J10-3:1
L12-3,3,7C-3:3;M13-3:1
M13-3,3,6C-3:3;L12-3:1;N14-3:0.5
N14-3,3,M13-3:0.5;TR6-3:2
O15-3,3,P16-3:2.5;TR7-3:1
P16-3,3,315B:0.5;O15-3:2.5
Q17-3,3,311B:2;305B:2.5
R18-3,3,304B:2.5;306B:1.5;310B:1
S19-3,3,314B:2;T20-3:2.5
T20-3,3,S19-3:2.5;TR8-3:0.5
TR1-3,3,A1-3:2;TR1-2:5
TR2-3,3,B2-3:2;TR2-2:5
TR3-3,3,C3-3:2;TR3-2:5
TR4-3,3,H8-3:2;TR4-2:5
TR5-3,3,I9-3:2;TR5-2:5
TR6-3,3,N14-3:2;TR6-2:5
TR7-3,3,O15-3:1;TR7-2:5
TR8-3,3,T20-3:0.5;TR8-2:5